Group,Common Name,Species Code,Call,Reference,Granularity,BinSize_m,Notes,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Parameter 7,Parameter 8,Var17
,Gray Whale,Er,1,Crane & Lashkari 1996; Dahlheim 1984,,,"Gray whale calls are traditionally prefixed by an S, M, or N depending upon the whale's location on calving grounds (S), migration routes (M), or feeding grounds (N).",Start_Hz,End_Hz,Duration_s,RL_dB,IPI_s,PulseCount,,,
,Gray Whale,Er,2,Dahlheim 1984,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Gray Whale,Er,3,Crane & Lashkari 1996; Dahlheim 1984,,,,Start_Hz,End_Hz,Duration_s,RL_dB,SidebandInterval_s,,,,
,Gray Whale,Er,4,Crane & Lashkari 1996; Dahlheim 1984,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Gray Whale,Er,5,Crane & Lashkari 1996; Dahlheim 1984,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Gray Whale,Er,6,Dahlheim 1984,,,,Start_Hz,End_Hz,Duration_s,RL_dB,IPI_s,PulseCount,,,
,Gray Whale,Er,7,Dahlheim 1984,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Gray Whale,Er,All,,,,Presence of Gray whales producing any call type,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Gray Whale,Er,Unspecified,,,,Call type not previously described,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,,,,,,,,,,,,,,,,
,Humpback Whale,Mn,Song,Payne & McVay 1971,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Humpback Whale,Mn,Non-Song,Dunlop et al 2008; Stimpert et al 2011,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Humpback Whale,Mn,Non-Song/Scream,??,,,not sure what this separate category refers to?,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Humpback Whale,Mn,Unspecified,,,,Call type not previously described,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Humpback Whale,Mn,All,,,,Presence of Humpback whales producing any call type,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,,,,,,,,,,,,,,,,
,Minke Whale,Ba,Boing,Rankin & Barlow 2007,,,,Start_Hz,End_Hz,Duration_s,RL_dB,IPI_s,PulseCount,Peak_Hz,,
,Minke Whale,Ba,Bio-duck,Risch et al 2014,,,,,,,,,,,,
,Minke Whale,Ba,Pulse_train,Mellinger et al 2000,,,,Start_Hz,End_Hz,Duration_s,RL_dB,IPI_s,PulseCount,StartIPI,EndIPI,Peak_Hz
,Minke Whale,Ba,Pulse_train/Speed-Up,Mellinger et al 2000,,,,Start_Hz,End_Hz,Duration_s,RL_dB,IPI_s,PulseCount,StartIPI,EndIPI,Peak_Hz
,Minke Whale,Ba,Pulse_train/Slow-Down,Mellinger et al 2000,,,,Start_Hz,End_Hz,Duration_s,RL_dB,IPI_s,PulseCount,StartIPI,EndIPI,Peak_Hz
,Minke Whale,Ba,Pulse_train/Constant,"Risch, MEPS 2013 in press",,,,Start_Hz,End_Hz,Duration_s,RL_dB,IPI_s,PulseCount,StartIPI,EndIPI,Peak_Hz
,Minke Whale,Ba,Star_Wars_Vocalization,Gedamke et al 2001,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Minke Whale,Ba,Downsweep,Schevill and Watkins 1972; Edds Walton 2000,,,"it is hard to say whether these two authors recorded the same type of vocalization, but all these calls were somwhere between 50 and 150 Hz",Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Minke Whale,Ba,Unspecified,,,,Call type not previously described,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Minke Whale,Ba,All,,,,Presence of Minke whales producing any call type,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,,,,,,,,,,,,,,,,
,Right whale,Eg,Up-call,Parks & Tyack 2005,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Right whale,Eg,Gunshot,Parks & Tyack 2005,,,,Start_Hz,End_Hz,Duration_s,RL_dB,Min_Hz,Max_Hz,Peak_Hz,,
,Right whale,Eg,Scream,Parks & Tyack 2005,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Right whale,Eg,Downsweep,Parks 2003,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Right whale,Eg,Moan,Matthews et al 2001; Esch unpub,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Right whale,Eg,Unspecified,,,,Call type not previously described,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Right whale,Eg,All,,,,Presence of right whales producing any call type,,,,RL_dB,,,,,
,,,,,,,,,,,,,,,,
,North Pacific right whale,Ej,Up,McDonald & Moore 2002,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,North Pacific right whale,Ej,Down-up,McDonald & Moore 2002,,,,Start_Hz,End_Hz,Duration_s,RL_dB,Min_Hz,Max_Hz,,,
,North Pacific right whale,Ej,Gunshot,ask Catherine-- Rone et al. paper in press?,,,,Start_Hz,End_Hz,Duration_s,RL_dB,Min_Hz,Max_Hz,Peak_Hz,,
,North Pacific right whale,Ej,Scream,not sure if documented in Ej?,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,North Pacific right whale,Ej,Down,McDonald & Moore 2002,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,North Pacific right whale,Ej,Moan,"McDonald & Moore 2002 (""constant-tonal"" and/or ""constant-waver"")",,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,North Pacific right whale,Ej,Unspecified,,,,Call type not previously described,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,North Pacific right whale,Ej,All,,,,Presence of right whales producing any call type,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,,,,,,,,,,,,,,,,
,Southern right whale,Ea,Up,Clark 1982,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Southern right whale,Ea,Gunshot,"Clark 1982 (""slap"")",,,,Start_Hz,End_Hz,Duration_s,RL_dB,Min_Hz,Max_Hz,Peak_Hz,,
,Southern right whale,Ea,Scream,"Clark 1982, 1983 (""high"", ""hybrid"", or ""pulsive"")",,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Southern right whale,Ea,Down,Clark 1982,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Southern right whale,Ea,Moan,"Clark 1982 (""constant call"")",,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Southern right whale,Ea,Unspecified,,,,Call type not previously described,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Southern right whale,Ea,All,,,,Presence of right whales producing any call type,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Bowhead whale,BM,blows,Wuersig & Clark 1993,,,needs Catherine's review!,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Bowhead whale,BM,crunch sounds,Wuersig & Clark 1993,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Bowhead whale,BM,gunshots,Wuersig & Clark 1993,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Bowhead whale,BM,slaps,Wuersig & Clark 1993,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Bowhead whale,BM,LF/FM_calls,Wuersig & Clark 1993,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Bowhead whale,BM,HF_calls,Wuersig & Clark 1993,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Bowhead whale,BM,Pulsive_calls,Wuersig & Clark 1993,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Bowhead whale,BM,Song,Cummings et al 1980; Stafford et al 2008; Tervo et al 2011,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Bowhead whale,BM,Unspecified,,,,Call type not previously described,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Bowhead whale,BM,All,,,,Presence of bowhead whales producing any call type,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,,,,,,,,,,,,,,,,
